Geography,Geography,Gender (3),Age (20),Total - Type of collective dwelling,  Health care and related facilities,    Hospitals,    Nursing homes,    Residences for senior citizens,    Facilities that are a mix of both a nursing home and a residence for senior citizens,    Residential care facilities such as group homes for persons with disabilities and addictions,  Correctional and custodial facilities,  Shelters,  Service collective dwellings,    Lodging and rooming houses,"    Hotels, motels and other establishments with temporary accommodation services",    Other service collective dwellings,  Religious establishments,  Hutterite colonies,  Other collective dwellings
10,Newfoundland and Labrador,Total - Gender,    75 to 79 years,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,Total - Gender,    80 to 84 years,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,Total - Gender,    85 years and over,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Men+,Total - Age,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Men+,  0 to 14 years,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Men+,  15 to 19 years,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Men+,    15 to 17 years,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Men+,    18 to 19 years,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Men+,  20 to 24 years,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Men+,  25 to 29 years,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Men+,  30 to 34 years,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Men+,  35 to 39 years,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Men+,  40 to 44 years,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Men+,  45 to 49 years,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Men+,  50 to 54 years,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Men+,  55 to 59 years,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Men+,  60 to 64 years,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Men+,  65 years and over,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Men+,    65 to 69 years,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Men+,    70 to 74 years,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Men+,    75 to 79 years,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Men+,    80 to 84 years,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Men+,    85 years and over,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Women+,Total - Age,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Women+,  0 to 14 years,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Women+,  15 to 19 years,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Women+,    15 to 17 years,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Women+,    18 to 19 years,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Women+,  20 to 24 years,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Women+,  25 to 29 years,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Women+,  30 to 34 years,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Women+,  35 to 39 years,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Women+,  40 to 44 years,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Women+,  45 to 49 years,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Women+,  50 to 54 years,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Women+,  55 to 59 years,,,,,,,,,,,,,,,,
